zillow_regionname,acs_regionname,acs_met2013,match_method
abilene tx,"Abilene, TX",,substring
adrian mi,"Adrian, MI",,substring
akron oh,"Akron, OH","Akron, OH",substring
albany ga,"Albany, GA",,substring
albany ny,"Albany, GA",,substring
albany or,"Albany, GA",,substring
albertville al,"Albertville, AL",,substring
albuquerque nm,"Albuquerque, NM","Albuquerque, NM",substring
alexandria la,"Alexandria, LA","Alexandria, LA",substring
allentown pa,"Allentown, PA",,substring
altoona pa,"Altoona, PA","Altoona, PA",substring
amarillo tx,"Amarillo, TX","Amarillo, TX",substring
ames ia,"Ames, IA",,substring
anchorage ak,"Anchorage, AK","Anchorage, AK",substring
ann arbor mi,"Ann Arbor, MI","Ann Arbor, MI",substring
appleton wi,"Appleton, WI",,substring
asheville nc,"Asheville, NC","Asheville, NC",substring
ashtabula oh,"Ashtabula, OH",,substring
athens ga,"Athens, GA",,substring
atlanta ga,"Atlanta, GA",,substring
atlantic city nj,"Atlantic City, NJ",,substring
auburn al,"Auburn, AL",,substring
augusta ga,"Augusta, GA",,substring
augusta me,"Augusta, GA",,substring
austin tx,"Austin, TX",,substring
bakersfield ca,"Bakersfield, CA","Bakersfield, CA",substring
baltimore md,"Baltimore, MD",,substring
bangor me,"Bangor, ME","Bangor, ME",substring
barnstable town ma,"Barnstable Town, MA","Barnstable Town, MA",substring
baton rouge la,"Baton Rouge, LA","Baton Rouge, LA",substring
battle creek mi,"Battle Creek, MI","Battle Creek, MI",substring
bay city mi,"Bay City, MI",,substring
beaumont tx,"Beaumont, TX",,substring
bellingham wa,"Bellingham, WA","Bellingham, WA",substring
bend or,"Bend, OR",,substring
billings mt,"Billings, MT","Billings, MT",substring
binghamton ny,"Binghamton, NY","Binghamton, NY",substring
birmingham al,"Birmingham, AL",,substring
bismarck nd,"Bismarck, ND","Bismarck, ND",substring
blacksburg va,"Blacksburg, VA",,substring
bloomington il,"Bloomington, IL","Bloomington, IL",substring
bloomington in,"Bloomington, IL","Bloomington, IL",substring
boise city id,"Boise City, ID","Boise City, ID",substring
boone nc,"Boone, NC",,substring
boston ma,"Boston, MA",,substring
boulder co,"Boulder, CO",,substring
bowling green ky,"Bowling Green, KY",,substring
bozeman mt,"Bozeman, MT",,substring
brainerd mn,"Brainerd, MN",,substring
breckenridge co,"Breckenridge, CO",,substring
bremerton wa,"Bremerton, WA",,substring
bridgeport ct,"Bridgeport, CT",,substring
brownsville tx,"Brownsville, TX",,substring
brunswick ga,"Brunswick, GA",,substring
buffalo ny,"Buffalo, NY",,substring
burlington nc,"Burlington, NC","Burlington, NC",substring
burlington vt,"Burlington, NC","Burlington, NC",substring
california md,"California, MD",,substring
canton oh,"Canton, OH",,substring
cape coral fl,"Cape Coral, FL",,substring
cape girardeau mo,"Cape Coral, FL",,substring
carbondale il,"Carbondale, IL",,substring
casper wy,"Casper, WY",,substring
cedar rapids ia,"Cedar Rapids, IA",,substring
chambersburg pa,"Chambersburg, PA",,substring
champaign il,"Champaign, IL",,substring
charleston sc,"Charleston, SC",,substring
charleston wv,"Charleston, SC",,substring
charlotte nc,"Charlotte, NC",,substring
charlottesville va,"Charlottesville, VA","Charlottesville, VA",substring
chattanooga tn,"Chattanooga, TN",,substring
cheyenne wy,"Cheyenne, WY","Cheyenne, WY",substring
chicago il,"Chicago, IL",,substring
chico ca,"Chico, CA","Chico, CA",substring
cincinnati oh,"Cincinnati, OH",,substring
clarksville tn,"Clarksville, TN",,substring
cleveland oh,"Cleveland, OH",,substring
cleveland tn,"Cleveland, OH",,substring
coeur dalene id,"Coeur d'Alene, ID","Coeur d'Alene, ID",substring
college station tx,"College Station, TX",,substring
colorado springs co,"Colorado Springs, CO","Colorado Springs, CO",substring
columbia mo,"Columbia, MO","Columbia, MO",substring
columbia sc,"Columbia, MO","Columbia, MO",substring
columbus ga,"Columbus, GA",,substring
columbus oh,"Columbus, GA",,substring
concord nh,"Concord, NH",,substring
cookeville tn,"Cookeville, TN",,substring
corpus christi tx,"Corpus Christi, TX","Corpus Christi, TX",substring
crestview fl,"Crestview, FL",,substring
crossville tn,"Crossville, TN",,substring
cullowhee nc,"Cullowhee, NC",,substring
dallas tx,"Dallas, TX",,substring
daphne al,"Daphne, AL",,substring
davenport ia,"Davenport, IA",,substring
dayton oh,"Dayton, OH","Dayton, OH",substring
decatur al,"Decatur, AL","Decatur, AL",substring
decatur il,"Decatur, AL","Decatur, AL",substring
deltona fl,"Deltona, FL",,substring
denver co,"Denver, CO",,substring
des moines ia,"Des Moines, IA",,substring
detroit mi,"Detroit, MI",,substring
dothan al,"Dothan, AL","Dothan, AL",substring
dover de,"Dover, DE","Dover, DE",substring
duluth mn,"Duluth, MN",,substring
durango co,"Durango, CO",,substring
durham nc,"Durham, NC",,substring
east stroudsburg pa,"East Stroudsburg, PA","East Stroudsburg, PA",substring
eau claire wi,"Beaumont, TX",,substring
edwards co,"Edwards, CO",,substring
el paso tx,"Bakersfield, CA","Bakersfield, CA",substring
elizabethtown ky,"Elizabethtown, KY",,substring
elkhart in,"Elkhart, IN",,substring
erie pa,"Erie, PA","Erie, PA",substring
eugene or,"Eugene, OR","Eugene, OR",substring
eureka ca,"Eureka, CA",,substring
evansville in,"Evansville, IN",,substring
fargo nd,"Fargo, ND",,substring
fayetteville ar,"Fayetteville, AR",,substring
fayetteville nc,"Fayetteville, AR",,substring
flagstaff az,"Flagstaff, AZ","Flagstaff, AZ",substring
flint mi,"Flint, MI","Flint, MI",substring
florence al,"Florence, AL",,substring
florence sc,"Florence, AL",,substring
fort collins co,"Fort Collins, CO","Fort Collins, CO",substring
fort smith ar,"Fort Collins, CO","Fort Collins, CO",substring
fort wayne in,"Fort Collins, CO","Fort Collins, CO",substring
fresno ca,"Fresno, CA","Fresno, CA",substring
gainesville fl,"Gainesville, FL","Gainesville, FL",substring
gainesville ga,"Gainesville, FL","Gainesville, FL",substring
georgetown sc,"Georgetown, SC",,substring
gettysburg pa,"Gettysburg, PA",,substring
gillette wy,"Gillette, WY",,substring
glens falls ny,"Glens Falls, NY","Glens Falls, NY",substring
glenwood springs co,"Glenwood Springs, CO",,substring
goldsboro nc,"Goldsboro, NC","Goldsboro, NC",substring
grand junction co,"Grand Junction, CO","Grand Junction, CO",substring
grand rapids mi,"Grand Junction, CO","Grand Junction, CO",substring
grants pass or,"Grants Pass, OR",,substring
greeley co,"Greeley, CO","Greeley, CO",substring
green bay wi,"Bowling Green, KY",,substring
greensboro nc,"Greensboro, NC",,substring
greenville nc,"Greenville, NC","Greenville, NC",substring
greenville sc,"Greenville, NC","Greenville, NC",substring
gulfport ms,"Gulfport, MS",,substring
hagerstown md,"Hagerstown, MD",,substring
hanford ca,"Hanford, CA",,substring
harrisburg pa,"Harrisburg, PA",,substring
harrisonburg va,"Harrisonburg, VA","Harrisonburg, VA",substring
hartford ct,"Hartford, CT",,substring
hattiesburg ms,"Hattiesburg, MS","Hattiesburg, MS",substring
heber ut,"Heber, UT",,substring
hickory nc,"Hickory, NC",,substring
hilo hi,"Hilo, HI",,substring
hilton head island sc,"Hilton Head Island, SC",,substring
holland mi,"Holland, MI",,substring
homosassa springs fl,"Homosassa Springs, FL","Homosassa Springs, FL",substring
hot springs ar,"Hot Springs, AR",,substring
houma la,"Houma, LA",,substring
houston tx,"Houston, TX",,substring
huntington wv,"Huntington, WV",,substring
huntsville al,"Huntsville, AL","Huntsville, AL",substring
idaho falls id,"Idaho Falls, ID",,substring
indianapolis in,"Indianapolis, IN",,substring
iowa city ia,"Iowa City, IA","Iowa City, IA",substring
jackson mi,"Jackson, MI","Jackson, MI",substring
jackson ms,"Jackson, MI","Jackson, MI",substring
jackson tn,"Jackson, MI","Jackson, MI",substring
jacksonville fl,"Jacksonville, FL","Jacksonville, FL",substring
jacksonville nc,"Jacksonville, FL","Jacksonville, FL",substring
janesville wi,"Janesville, WI",,substring
jefferson city mo,"Jefferson City, MO","Jefferson City, MO",substring
johnson city tn,"Johnson City, TN","Johnson City, TN",substring
jonesboro ar,"Jonesboro, AR","Jonesboro, AR",substring
joplin mo,"Joplin, MO","Joplin, MO",substring
kahului hi,"Kahului, HI",,substring
kalamazoo mi,"Kalamazoo, MI",,substring
kalispell mt,"Kalispell, MT",,substring
kankakee il,"Kankakee, IL","Kankakee, IL",substring
kansas city mo,"Kansas City, MO",,substring
kennewick wa,"Kennewick, WA",,substring
key west fl,"Key West, FL",,substring
kill devil hills nc,"Kill Devil Hills, NC",,substring
killeen tx,"Killeen, TX",,substring
kingsport tn,"Kingsport, TN",,substring
kingston ny,"Kingston, NY",,substring
knoxville tn,"Knoxville, TN","Knoxville, TN",substring
kokomo in,"Kokomo, IN",,substring
la crosse wi,"Alexandria, LA","Alexandria, LA",substring
lafayette in,"Lafayette, IN",,substring
lafayette la,"Lafayette, IN",,substring
lake charles la,"Lake Charles, LA","Lake Charles, LA",substring
lake havasu city az,"Lake Charles, LA","Lake Charles, LA",substring
lakeland fl,"Lakeland, FL",,substring
lancaster pa,"Lancaster, PA","Lancaster, PA",substring
lansing mi,"Lansing, MI",,substring
las cruces nm,"Dallas, TX",,substring
las vegas nv,"Dallas, TX",,substring
lawton ok,"Lawton, OK","Lawton, OK",substring
lebanon nh,"Lebanon, NH",,substring
lebanon pa,"Lebanon, NH",,substring
lexington ky,"Lexington, KY",,substring
lincoln ne,"Lincoln, NE","Lincoln, NE",substring
little rock ar,"Little Rock, AR",,substring
