acs_met2013,pre_covid_slr,hhinc,pov,college,employed,renter,age25_44,age45_64,commute,density,vacancy,valueh,rooms,bedrooms,valueh_pre,valueh_post,log_value_change,met2013,statefip
"akron, oh",.98015475,322883.752838599,304.7973,.23112983,.49206716,.29684809,.23370086,.28959242,10.598121,1918.266495712946,0,3391187.240481202,6.5967827,3.9540265,3363488.220397808,3121558.784689051,-.074646108,"Akron, OH",39
"albany-schenectady-troy, ny",.98677933,498697.9588623564,337.3407,.28287423,.51013541,.31373569,.23886231,.28433356,11.03082,1791.160535070834,0,3758386.725563509,6.2617359,3.8467298,3639203.222787831,3459368.531776713,-.050678696,"Albany-Schenectady-Troy, NY",36
"albuquerque, nm",.98608321,201754.2178556019,287.96835,.23441532,.45720229,.29153061,.26474395,.26316947,10.170887,2687.427330986428,0,3316169.054248761,5.9076476,3.9487703,3281020.335329094,2965397.46998981,-.10114338,"Albuquerque, NM",35
"allentown-bethlehem-easton, pa-nj",.97758716,351862.6928385505,322.13678,.20814228,.48880425,.28607142,.23897269,.2817829,12.761364,2633.260233585057,0,3437238.128963772,6.522995,4.0108309,3437930.657245278,3276882.919313989,-.047977097,"Allentown-Bethlehem-Easton, PA-NJ",34
"amarillo, tx",.98276955,483815.9682082693,288.3302,.16150737,.478499,.32942936,.27437291,.23214161,8.8964443,1386.967271155405,0,3897393.165556783,5.5293961,3.7414739,3942258.585622544,3588753.718727564,-.093948819,"Amarillo, TX",48
"anchorage, ak",.9963761,390432.3354831759,354.4429,.22037323,.50177276,.29730311,.28996301,.26313066,9.2332172,1468.895806609925,0,3564111.120635377,5.8590345,3.8865826,3561594.170018959,3128874.678981823,-.12953483,"Anchorage, AK",2
"ann arbor, mi",.99530333,688135.8381704792,324.66446,.40003362,.52067119,.31740487,.26361018,.24949996,11.838863,2503.306434711804,0,4063458.842979108,6.3618627,3.8601043,4153135.925573501,3996131.640709449,-.038536891,"Ann Arbor, MI",26
"anniston-oxford-jacksonville, al",.97503173,382387.6032981675,266.23178,.14188325,.42109585,.27765206,.24365737,.26691064,9.4792747,364.7999999999998,0,3475637.853389428,6.1093669,3.8396091,3547086.614539476,3041617.067625834,-.15373729,"Anniston-Oxford-Jacksonville, AL",1
"asheville, nc",.97460973,309649.301554994,292.3334,.24758705,.46705064,.26040217,.23286891,.28974602,8.9504938,479.584591632901,0,3275963.853963313,5.8167572,3.7184942,3300515.956988764,3166109.410316112,-.041575287,"Asheville, NC",37
"atlanta-sandy springs-roswell, ga",.98949349,263080.1009550865,317.51447,.26619789,.49375924,.34660399,.27807906,.2673285,14.395446,1897.382429552193,0,3912179.032688295,6.9266262,4.25735,3951235.768126457,3376448.875692318,-.15720385,"Atlanta-Sandy Springs-Roswell, GA",13
"atlantic city-hammonton, nj",.97006702,326636.3330228343,303.85974,.19404933,.4626562,.30840111,.22690769,.28549129,10.48583,1500.677951209685,0,3545847.063173972,6.4812274,3.8668211,3508758.476132833,3150904.220405051,-.1075728,"Atlantic City-Hammonton, NJ",34
"augusta-richmond county, ga-sc",.98176295,368442.2850849314,278.10425,.18930171,.43978444,.31187162,.26118261,.26477656,9.9111385,798.3908874123964,0,3785308.933779878,6.4610481,4.0428395,3764828.040379819,3282246.029553599,-.13717423,"Augusta-Richmond County, GA-SC",13
"austin-round rock, tx",.99112433,331142.500869024,336.78296,.3006402,.53192061,.35532609,.31969222,.23996596,12.842671,2292.33769142558,0,4096189.230150792,5.8970337,3.9060051,4133757.342902097,3912604.178882245,-.054983579,"Austin-Round Rock, TX",48
"bakersfield, ca",.99636424,448905.4411795093,245.72243,.10601167,.39308369,.41130373,.27450204,.23099306,8.3954105,2364.969319661696,0,4742510.988850044,5.2783103,3.8342848,4716250.859766996,4306752.723260241,-.090829983,"Bakersfield, CA",6
"baltimore-columbia-towson, md",.99502152,367277.3272209751,354.89758,.29411659,.51404935,.30203438,.26600781,.27771536,14.784874,4324.29245465025,0,3629811.473235944,6.8292413,4.0122008,3644277.592793449,3336002.300198932,-.088384978,"Baltimore-Columbia-Towson, MD",24
"bangor, me",.97357285,529848.730535708,288.96591,.16756473,.4782545,.24190861,.22572236,.29678994,9.8630371,204.5,0,3037880.61062354,5.618187,3.6557875,2979942.021782961,3255292.185479674,.088378191,"Bangor, ME",23
"barnstable town, ma",.97355151,258477.1932903031,364.17828,.35747984,.48602551,.19995303,.18152419,.31605923,9.2242031,663.2457146274577,0,2699303.19210749,6.2224751,3.9568961,2613659.60697496,2421846.739639413,-.076221026,"Barnstable Town, MA",25
"baton rouge, la",.98209769,376611.8994996978,303.14981,.18829741,.46736026,.29856762,.27166626,.255312,11.613172,1226.619596924782,0,3628098.184309022,5.7484674,3.8734145,3621627.324925686,3311589.54280724,-.089495167,"Baton Rouge, LA",22
"beaumont-port arthur, tx",.98233819,584382.8060008264,276.87109,.12339888,.42575514,.29627225,.25887835,.26424721,9.0787401,1070.166662517085,0,3799069.39800767,5.4820313,3.6529608,3766706.139436588,3468608.050558953,-.082447544,"Beaumont-Port Arthur, TX",48
"bellingham, wa",.9983241,340676.1745161368,303.94214,.22387616,.48285365,.35356349,.24329768,.2564511,10.281533,667.7000000000007,0,4257110.542596713,5.8946052,3.8471782,4189467.836815645,3780534.879681684,-.10270821,"Bellingham, WA",53
"bend-redmond, or",.99051237,163467.949230638,326.96765,.24563269,.4825052,.2992349,.25905743,.27004182,7.538394,447.1000000000003,0,3593423.460388521,5.7385817,3.8711054,3480201.600534877,2537926.626425614,-.31574276,"Bend-Redmond, OR",41
"binghamton, ny",.9688319,581370.260938899,284.37546,.2161677,.43511048,.2846764,.21789601,.28271201,7.3868513,1730.070562635582,0,3590420.786892475,6.2453618,3.8149998,3504777.023001072,3202712.046623345,-.090128936,"Binghamton, NY",36
